"member_casual","week_day","mean_ride_length"
"casual","Monday",52980.7184694624
"member","Monday",42718.1002748566
"casual","Tuesday",54046.5403533934
"member","Tuesday",42130.1801975532
"casual","Wednesday",52467.6844762688
"member","Wednesday",42568.5370898894
"casual","Thursday",53422.051314466
"member","Thursday",42122.8761099302
"casual","Friday",53159.1352613464
"member","Friday",39968.3300975158
"casual","Saturday",52270.4910928636
"member","Saturday",41135.9017701369
"casual","Sunday",53326.0351887419
"member","Sunday",42335.5127538697
