"hour","member_casual","rides"
"00","casual",342
"00","member",66
"01","casual",262
"01","member",51
"02","casual",190
"02","member",31
"03","casual",126
"03","member",16
"04","casual",81
"04","member",14
"05","casual",45
"05","member",37
"06","casual",103
"06","member",118
"07","casual",189
"07","member",232
"08","casual",234
"08","member",255
"09","casual",333
"09","member",208
"10","casual",442
"10","member",212
"11","casual",491
"11","member",216
"12","casual",578
"12","member",203
"13","casual",605
"13","member",199
"14","casual",614
"14","member",197
"15","casual",689
"15","member",250
"16","casual",759
"16","member",302
"17","casual",797
"17","member",368
"18","casual",852
"18","member",241
"19","casual",706
"19","member",178
"20","casual",522
"20","member",136
"21","casual",382
"21","member",120
"22","casual",418
"22","member",104
"23","casual",407
"23","member",66
